filename,plate,confidence,status
T1_124447_SC614____Unknown.jpg,SC614,1.00,ok
T1_124455_JJ939____Unknown.jpg,TJJ939,0.88,ok
T1_124516_VU441____Unknown.jpg,TVU443,0.89,ok
T1_124522_GA123____Unknown.jpg,GA123,0.99,ok
T1_124552_AA501F____Unknown.jpg,AA501F,0.99,ok
T1_124851_AA349L____Unknown.jpg,AA349L,1.00,ok
T1_124913_NKT424____Unknown.jpg,NKTRAME,0.75,ok
T1_125021_SJ783____Unknown.jpg,S3783,0.88,ok
T1_125228_SM081____Unknown.jpg,SM081,0.79,ok
T1_125303_ZH588____Unknown.jpg,ZH588,0.96,ok
T1_125320_ZZK388____Unknown.jpg,ZZK388,1.00,ok
T1_125418_LR006____Unknown.jpg,LR006,0.99,ok
T1_130014_PD225____Unknown.jpg,PD225,1.00,ok
T1_130222_LV763____Unknown.jpg,LV763,1.00,ok
T1_130228_RS315____Unknown.jpg,RS315,0.93,ok
T1_130250_PC601____Unknown.jpg,PC601,0.99,ok
T1_130335_UE660____Unknown.jpg,UE660,0.85,ok
T1_130619_ZP620____Unknown.jpg,ZP62G,0.94,ok
T1_130812_UG135____Unknown.jpg,UG135,0.99,ok
T1_130936_AB870G____Unknown.jpg,AB870G,0.99,ok
T1_131051_YZ375____Unknown.jpg,YZ375,0.92,ok
T1_131105_LC189____Unknown.jpg,LC189,1.00,ok
T1_131119_ZUY584____Unknown.jpg,ZUY584,1.00,ok
T1_131228_AB138P____Unknown.jpg,AB138P,0.98,ok
T1_131312_AB075N____Unknown.jpg,AB075N,0.97,ok
T1_131321_ZJ278____Unknown.jpg,ZJ278,0.98,ok
T1_131736_HD386____Unknown.jpg,HD386,0.97,ok
T1_131749_AB962M____Unknown.jpg,M,0.63,ok
T1_131901_JK446____Unknown.jpg,O,0.42,ok
T1_132147_UF401____Unknown.jpg,UF401,0.97,ok
T1_132313_AA425E____Unknown.jpg,AA425E,1.00,ok
T1_132336_YP798____Unknown.jpg,YP798,0.92,ok
T1_132352_AA403D____Unknown.jpg,AA403D,0.97,ok
T1_132717_RZ775____Unknown.jpg,ITS,0.71,ok
T1_132725_YT934____Unknown.jpg,VT934,0.96,ok
T1_132753_KD117____Unknown.jpg,KD117,0.97,ok
T1_132908_TNH811____Unknown.jpg,TNH811,0.92,ok
T1_133217_AB717D____Unknown.jpg,AB,0.83,ok
T1_133250_ZVF364____Unknown.jpg,ZVF364,1.00,ok
T1_133255_YF285____Unknown.jpg,YF285,1.00,ok
T1_133322_AA694N____Unknown.jpg,AA694N,1.00,ok
T1_133354_LZ444____Unknown.jpg,LZ444,0.98,ok
T1_133624_AB166G____Unknown.jpg,PAB166G,0.93,ok
T1_133655_AA212Y____Unknown.jpg,AA212Y,0.98,ok
T1_133905_ZJB226____Unknown.jpg,ZJB226,0.96,ok
T1_133914_TEY602____Unknown.jpg,TEV602,0.89,ok
T1_134034_PH068____Unknown.jpg,PH068,0.84,ok
T1_134112_ZF102____Unknown.jpg,ZF102,1.00,ok
T1_134301_MV428____Unknown.jpg,MV428,0.99,ok
T1_134328_UT989____Unknown.jpg,OUT989,0.91,ok
T1_134624_VK900____Unknown.jpg,VK900,0.97,ok
T1_134753_GK004____Unknown.jpg,GK004,0.99,ok
T1_134939_NP533____Unknown.jpg,NP533,1.00,ok
T1_134952_ZAB080____Unknown.jpg,ZAB188C,0.98,ok
T1_134959_KG938____Unknown.jpg,KG938,0.98,ok
T1_135017_AB735J____Unknown.jpg,AB735J,0.98,ok
T1_135223_YA816____Unknown.jpg,IYA816,0.82,ok
T1_135306_AA844L____Unknown.jpg,M,0.67,ok
T1_135542_ZU153____Unknown.jpg,ZU153,0.99,ok
T1_135800_VY129____Unknown.jpg,VY129,0.98,ok
T1_135843_UT737____Unknown.jpg,UT737,0.99,ok
T1_135911_UT737____Unknown.jpg,UT737,0.99,ok
T1_140123_ZUB766____Unknown.jpg,ZUB766,0.99,ok
T1_140321_RH662____Unknown.jpg,RH662,1.00,ok
T1_140352_AB097A____Unknown.jpg,AB097A,0.98,ok
T1_140507_MM098____Unknown.jpg,MM098,0.97,ok
T1_140747_LR047____Unknown.jpg,LR047,0.98,ok
T1_140854_SV650____Unknown.jpg,SV650,0.98,ok
T1_140855_UD874____Unknown.jpg,UDS74,0.92,ok
T1_141149_AA636H____Unknown.jpg,636H,0.98,ok
T1_141152_VB786____Unknown.jpg,VB786,0.99,ok
T1_141432_VV630____Unknown.jpg,VV630,0.97,ok
T1_141432_ZPH663____Unknown.jpg,ZPH663,0.98,ok
T1_141448_AB262F____Unknown.jpg,AB262F,0.97,ok
T1_141514_RL471____Unknown.jpg,RL471,1.00,ok
T1_141535_AB548P____Unknown.jpg,54BP,0.95,ok
T1_141747_LE528____Unknown.jpg,LE528,0.99,ok
T1_141901_GS166____Unknown.jpg,GS166,0.91,ok
T1_141930_VF262____Unknown.jpg,VF262,1.00,ok
T1_141956_SZA178____Unknown.jpg,KS24XTH,0.99,ok
T1_142134_AB080R____Unknown.jpg,LABR,0.80,ok
T1_142815_AB717D____Unknown.jpg,M,0.72,ok
T1_142825_UF386____Unknown.jpg,UF386,0.99,ok
